Zoraptera	Spiralizoridae	Spiralizoros	Spiralizoros caudelli
Phthiraptera	Philopteridae	Philopteroides	Philopteroides sp. PhspQuqu
Phthiraptera	Philopteridae	Philopteroides	Philopteroides sp. PhspBamo
Phthiraptera	Philopteridae	Traihoriella	Traihoriella sp. PnspMevir
Phthiraptera	Philopteridae	Traihoriella	Traihoriella sp. PnspMemys
Phthiraptera	Philopteridae	Traihoriella	Traihoriella sp. PnspMemon
Phthiraptera	Philopteridae	Mayriphilopterus	Mayriphilopterus sp. MaspMafu
Phthiraptera	Philopteridae	Mayriphilopterus	Mayriphilopterus sp. MaspMomo
Phthiraptera	Philopteridae	Mayriphilopterus	Mayriphilopterus sp. MaspJaau
Phthiraptera	Philopteridae	Mayriphilopterus	Mayriphilopterus sp. MaspGaal
Phthiraptera	Philopteridae	Mayriphilopterus	Mayriphilopterus sp. PpspNobru
Phthiraptera	Philopteridae	Corcorides	Corcorides inopinatus
Phthiraptera	Philopteridae	Corcorides	Corcorides biocellatus
Phthiraptera	Philopteridae	Priceiella	Priceiella sp. PrspTubre
Phthiraptera	Philopteridae	Priceiella	Priceiella sp. PrspPoruf
Phthiraptera	Philopteridae	Priceiella	Priceiella sp. PrspLacin
Phthiraptera	Philopteridae	Priceiella	Priceiella sp. PrspGamil
Phthiraptera	Philopteridae	Resartor	Resartor sp. RespGamil
Phthiraptera	Philopteridae	Ornicholax	Ornicholax sp. OrspTitao
Phthiraptera	Philopteridae	Ornicholax	Ornicholax sp. OrspTimaj2
Phthiraptera	Philopteridae	Ornicholax	Ornicholax sp. OrspTimaj1
Phthiraptera	Philopteridae	Ornicholax	Ornicholax sp. OnspTigut2
Phthiraptera	Philopteridae	Ornicholax	Ornicholax sp. OnspTigut
Phthiraptera	Philopteridae	Ornicholax	Ornicholax sp. OnspTimaj
Phthiraptera	Philopteridae	Trichodopeostus	Trichodopeostus spinosus
Phthiraptera	Philopteridae	Nothocotus	Nothocotus sp. NospNonig
Phthiraptera	Philopteridae	Nothocotus	Nothocotus subsimilis
Phthiraptera	Philopteridae	Saepocephalum	Saepocephalum stephenfryi
Phthiraptera	Philopteridae	Lamprocorpus	Lamprocorpus spinosus
Phthiraptera	Philopteridae	Lamprocorpus	Lamprocorpus sp. LpspNodar
Phthiraptera	Philopteridae	Lamprocorpus	Lamprocorpus hirsutus
Phthiraptera	Philopteridae	Cuclotocephalus	Cuclotocephalus sp. CkspNodar2
Phthiraptera	Philopteridae	Cuclotocephalus	Cuclotocephalus secundus
Phthiraptera	Philopteridae	Cuclotocephalus	Cuclotocephalus extraneus
Phthiraptera	Philopteridae	Cuclotocephalus	Cuclotocephalus sp. CkspNodar
Phthiraptera	Philopteridae	Cuclotocephalus	Cuclotocephalus sp. CkspNoorn
Phthiraptera	Philopteridae	Pterocotes	Pterocotes aberrans
Phthiraptera	Philopteridae	Pterocotes	Pterocotes tergalis
Phthiraptera	Philopteridae	Pterocotes	Pterocotes inexpectatus
Phthiraptera	Philopteridae	Pterocotes	Pterocotes sp. PtspTimaj
Phthiraptera	Philopteridae	Pterocotes	Pterocotes sp. QrspCrund
Phthiraptera	Philopteridae	Furnariphilus	Furnariphilus parkeri
Phthiraptera	Philopteridae	Furnariphilus	Furnariphilus sp. FnspAupar
Phthiraptera	Philopteridae	Furnariphilus	Furnariphilus sp. FispScgua
Phthiraptera	Philopteridae	Tinamotaecola	Tinamotaecola sp. TispTipen
Phthiraptera	Philopteridae	Tinamotaecola	Tinamotaecola sp. TispEufor
Phthiraptera	Philopteridae	Tinamotaecola	Tinamotaecola andinae
Phthiraptera	Philopteridae	Tinamotaecola	Tinamotaecola elegans
Phthiraptera	Philopteridae	Podargoecus	Podargoecus strigoides
Phthiraptera	Philopteridae	Podargoecus	Podargoecus papuensis
Phthiraptera	Philopteridae	Esthiopterum	Esthiopterum brevicephalum
Phthiraptera	Philopteridae	Dahlemhornia	Dahlemhornia asymmetrica
Phthiraptera	Philopteridae	Ardeiphagus	Ardeiphagus similis
Phthiraptera	Philopteridae	Ardeiphagus	Ardeiphagus cochlearius
Phthiraptera	Philopteridae	Cuculoecus	Cuculoecus piayae
Phthiraptera	Philopteridae	Cuculoecus	Cuculoecus africanus
Phthiraptera	Philopteridae	Craspedorrhynchus	Craspedorrhynchus pachypus
Phthiraptera	Philopteridae	Craspedorrhynchus	Craspedorrhynchus sp. CfspBualb
Phthiraptera	Philopteridae	Craspedorrhynchus	Craspedorrhynchus sp. CfspFaber
Phthiraptera	Philopteridae	Craspedorrhynchus	Craspedorrhynchus subhaematopus
Phthiraptera	Philopteridae	Alcedoffula	Alcedoffula madagascariensis
Phthiraptera	Philopteridae	Alcedoffula	Alcedoffula sp. AfspIspic
Phthiraptera	Philopteridae	Alcedoffula	Alcedoffula sp. AfspChame
Phthiraptera	Philopteridae	Alcedoffula	Alcedoffula sp. AfspChama
Phthiraptera	Philopteridae	Alcedoffula	Alcedoffula sp. AfspColeu
Phthiraptera	Philopteridae	Alcedoffula	Alcedoffula sp. AfspCeazu
Phthiraptera	Philopteridae	Alcedoffula	Alcedoffula cristata
Phthiraptera	Philopteridae	Alcedoffula	Alcedoffula chocoana
Phthiraptera	Philopteridae	Alcedoffula	Alcedoffula ceycis
Phthiraptera	Philopteridae	Alcedoffula	Alcedoffula alcyonae
Phthiraptera	Philopteridae	Acidoproctus	Acidoproctus fuligulae
Phthiraptera	Philopteridae	Acidoproctus	Acidoproctus hilli
